Link;Number;Name;Date;Time
https://indico.cern.ch/event/1106990/contributions/4998135/;204;Control of cryogenic dark matter detectors through deep reinforcement learning;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998156/;228;Deep learning based event reconstruction for the HEPD-02 detector on board the China Seismo-Electromagnetic Satellite;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998166/;237;Federated Learning Strategies of Generative Adversarial Networks for High Energy Physics Calorimeter Simulation;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4993526/;221;High Performance Computing Workflow for Liquid Argon Time Projection Chamber Neutrino Experiments;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998153/;226;Implementation of the Cluster Counting and Timing realtime algorithm on FPGA to improve the impact parameter estimates of the Drift Chamber and particle identification.;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998141/;215;New RooFit Developments on Performance Optimization;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998152/;225;Performances studies for a real time HEP data analysis;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998165/;235;Quantum anomaly detection in the latent spaces of high energy physics events;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991352/;218;RNTuple: Towards First-Class Support for HPC data centers;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998139/;212;Scaling MadMiner with a deployment on REANA;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998145/;217;The Linear Template Fit;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998162/;232;The TICL reconstruction at the CMS Phase-2 High Granularity Calorimeter Endcap;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998146/;219;Uncertainty estimation in deep learning based-classifiers of High Energy Physics events using Monte Carlo Dropout;27/10/2022;11:15
